name,position,mlb_team,league_id,fantasy_team_id,fa_status
Brady Hill,RP,COL,AA,,available
Camron Hill,SP,PHI,AA,,available
Darius Hill,OF,(N/A),AA,,available
Dasan Hill,SP,MIN,AA,,available
Garrett Hill,RP,(N/A),AA,,available
GJ Hill,OF,COL,AA,,available
Jamison Hill,"SP,RP",(N/A),AA,,available
Kyle Hill,"SP,RP",(N/A),AA,,available
Luke Hill,3B,CLE,AA,,available
Rich Hill,SP,(N/A),AA,,available
Turner Hill,OF,SF,AA,,available
Sam Hilliard,OF,COL,AA,,available
Juan Hillman,"SP,RP",(N/A),AA,,available
P.J. Hilson,OF,PIT,AA,,available
Jacob Hinderleider,1B,COL,AA,,available
Hunter Hines,1B,WSH,AA,,available
Carlos Hinestroza,SP,(N/A),AA,,available
C.J. Hinojosa,SS,(N/A),AA,,available
Casey Hintz,RP,SEA,AA,,available
Robert Hipwell,"1B,3B",SF,AA,,available
Miguel Hiraldo,2B,(N/A),AA,,available
Jensen Hirschkorn,SP,(N/A),AA,,available
Grayson Hitt,RP,ARI,AA,,available
Jamie Hitt,RP,SD,AA,,available
Keston Hiura,1B,COL,AA,,available
Jake Hjelle,1B,(N/A),AA,,available
Sean Hjelle,RP,SF,AA,,available
Cooper Hjerpe,SP,STL,AA,,available
Carson Hobbs,RP,LAD,AA,,available
Michael Hobbs,RP,SEA,AA,,available
Caleb Hobson,OF,COL,AA,,available
Colton Hock,SP,(N/A),AA,,available
Trent Hodgdon,RP,CIN,AA,,available
Landon Hodge,C,CHW,AA,,available
Hunter Hodges,RP,NYM,AA,,available
Jason Hodges,1B,(N/A),AA,,available
Douglas Hodo III,OF,BAL,AA,,available
Kody Hoese,3B,LAD,AA,,available
Paul Hoff,SP,MIL,AA,,available
Graham Hoffman,RP,(N/A),AA,,available
Wyatt Hoffman,OF,SD,AA,,available
Matt Hogan,OF,CHW,AA,,available
Jonathan Hogart,OF,PHI,AA,,available
Josh Hogue,OF,MIA,AA,,available
Braden Holcomb,SS,(N/A),AA,,available
Colby Holcombe,"SP,RP",TOR,AA,,available
Connor Holden,SP,(N/A),AA,,available
MaKale Holden,SP,MIL,AA,,available
Gery Holguin,"1B,3B",MIL,AA,,available
Aaron Holiday,RP,STL,AA,,available
Brian Holiday,SP,STL,AA,,available
Hunter Hollan,SP,CIN,AA,,available
Korey Holland,OF,LAA,AA,,available
Will Holland,"SS,OF",MIN,AA,,available
Ethan Holliday,SS,COL,AA,,available
Nick Hollifield,C,WSH,AA,,available
Connor Hollis,"2B,OF",(N/A),AA,,available
Kaden Hollow,1B,(N/A),AA,,available
Bo Holloway,SP,(N/A),AA,,available
Jordan Holloway,RP,LAA,AA,,available
