C h i c a g o   C u b s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,IFA (25),,,SP,Roki Sasaki,LAD,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,25,,,,,,,,,MiLB FA (22),,,SP,Cristian Mena,CHW,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-SF (25),,,SP,Hurston Waldrep,ATL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,23,25,,,,,,,,Trade-LAD (25),,,SP,Logan Allen,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,,,,,,,,,,,Trade-TOR (25),,,P,Pete Hansen,STL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-DET (25),,,RP,Joe Boyle,TB,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SF (25),,,RP,Porter Hodge,CHC,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,MiLB FA (23),,,RP,Bailey Horn ,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,23,24,25,,,,,,,MiLB FA (23),,,RP,Grant Anderson,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (25),,,RP,Tanner Scott,LAD,"12,000,000","12,000,000","12,000,000","12,000,000",UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,Rule V-CLE (26),,,RP,Zach McCambley,MIA,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,Rule V-MIA (26),,,RP,Juan Mejia,COL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-MIA (25),,,RP,Ty Madden,DET,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-ATH (25),,,RP,Joseph Montalvo,DET,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (25),,,RP,Jalen Beeks,TB,"3,500,000",UFA,,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-MIA (25),,,RP,Michael Arias,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,,,,,0,,,,,,,,,,Inaugural Draft,,,RP,Justin Lange,NYY,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Rule 5 Eligibility,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SD (25),Eligible,,C,Christian Cerda,ARZ,,,,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-ATH (25),EXEMPT,,C,Jesus Rodriguez,NYY,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 4,2026,,C,Cooper Ingle,CLE,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) CBB,2028,,C,Caden Bodine,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-LAA (25),2028,,C,Ivan Luciano,ARZ,,,,,,,,,,,,,,
