S t .   L o u i s   C a r d i n a l s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Inaugural Draft,Exempt,,RP,Jefferson Figueroa ,MIL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2026,,P,Drew Dowd,TB,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 3,2029,,P,River Hamilton,DET,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,P,Lewis Valerio,COL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,P,Juan Fraide,HOU,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,P,Joseph Deng Thon,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,P,Griffin Tobias,MIL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,P,Carlos Alvarez,SD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,P,Oscar Pujols,COL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2027,,P,Miguel Flores,CLE,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,P,Erick Matos,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Waive-PHI (24),2026,,P,Accimias Morales,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 2,2027,,P,Alex Clemmey,CLE,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 3,2026,,P,Levi Wells,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,P,Dominic Scheffler,LAA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,P,Raudy Reyes,ATL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2027,,P,Keeler Morfe,BAL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (23),2026,,P,Jostin Florentino,CHC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 6,2026,,P,Camden Minacci,LAA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,??,Eligible,,P,James Marinan,CIN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,X,,,,,,,,,,,,,1B,Jesus Aguilar,ATL,"1,300,000","1,300,000",,,,,,,,,,,,
,,,,,,X,,,,,,,,,,,,,RP,Taijuan Walker,PHI,"6,750,000",,,,,,,,,,,,,
,,,,,,X,,,,,,,,,X,,,,RP,Austin Voth,FA,"1,650,000",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,X,,,,,,,,,,,,,UT,Kevin Newman,LAA,"2,550,000",,,,,,,,,,,,,
