"ID","Player","Team","Position","RkOv","Status","Age","Opponent","FPts","FP/G","%D","ADP","Ros","+/-"
"*0374m*","Tyler Rogers","TOR","RP","675","FA","35","","110.5","1.47","21","485.6","41%","0%"
"*01sev*","Wade Miley","(N/A)","SP","678","FA","39","","109.5","9.12","0","-","4%","0%"
"*04azt*","Riley Adams","WSH","C","684","FA","29","","108","1.61","8","477.3","7%","0%"
"*050ok*","Yennier Cano","BAL","RP","685","FA","31","","108","1.59","3","466.6","20%","0%"
"*03022*","Hunter Renfroe","KC","OF","689","FA","33","","107.5","2.11","0","-","7%","0%"
"*041w4*","Bryan Baker","TB","RP","692","FA","31","","106","1.56","21","496.6","22%","-1%"
"*03dei*","Lane Thomas","KC","OF","695","FA","30","","105.5","2.4","62","443.3","43%","0%"
"*029us*","Christian Vazquez","(N/A)","C","696","FA","35","","105.5","1.67","2","465.7","4%","0%"
"*052c7*","Valente Bellozo","(N/A)","RP","697","FA","25","","105","8.75","0","-","9%","0%"
"*01c5o*","Jason Heyward","SD","OF","701","FA","36","","104.5","2.32","0","-","4%","0%"
"*03qju*","Garrett Cleavinger","TB","RP","704","FA","31","","104","1.58","29","476.3","34%","-1%"
"*0313t*","Tyler Kinley","(N/A)","RP","708","FA","34","","103.5","1.46","12","491.9","13%","0%"
"*005m0*","David Robertson","(N/A)","RP","709","FA","40","","103.5","1.92","3","466.5","9%","0%"
"*026rz*","Gio Urshela","ATH","3B","710","FA","34","","103","1.98","0","-","6%","0%"
"*0440h*","Jose Urquidy","DET","RP","711","FA","30","","102.5","10.25","8","476.9","14%","0%"
"*02hdy*","Pierce Johnson","(N/A)","RP","712","FA","34","","102","1.59","6","471.6","11%","0%"
"*04aok*","Gregory Soto","PIT","RP","717","FA","30","","101","1.4","9","478.5","20%","0%"
"*060ml*","Huascar Brazoban","NYM","RP","722","FA","36","","100","1.92","0","-","11%","0%"
"*0312l*","Brad Keller","PHI","RP","723","FA","30","","100","1.75","29","471.1","39%","0%"
"*02h8d*","Steven Matz","TB","RP","725","FA","34","","100","1.92","17","489.1","24%","0%"
"*02n0v*","Hoby Milner","CHC","RP","733","FA","34","","98.5","1.41","0","-","11%","0%"
"*03qln*","Jimmy Herget","COL","RP","739","FA","32","","97","1.7","2","463.9","8%","0%"
"*02bqd*","Andrew Chafin","(N/A)","RP","742","FA","35","","96","1.32","0","-","4%","0%"
"*04w4e*","Johan Rojas","PHI","OF","745","FA","25","","96","1.92","5","470.6","15%","0%"
"*02buh*","Scott Barlow","(N/A)","RP","746","FA","33","","95.5","1.36","0","-","9%","0%"
"*03d6q*","Derek Hill","CHW","OF","747","FA","29","","95.5","1.91","0","-","7%","0%"
"*04y76*","Jacob Webb","CHC","RP","751","FA","32","","95","1.61","0","-","8%","0%"
"*04ggi*","Andrew Kittredge","BAL","RP","757","FA","35","","94","1.47","39","450.6","41%","0%"
"*01sbv*","Shelby Miller","(N/A)","RP","759","FA","35","","94","2","2","463.3","13%","0%"
"*02ccf*","Tommy Kahnle","(N/A)","RP","766","FA","36","","93","1.41","0","-","11%","0%"
"*03duu*","Ryan Thompson","ARI","RP","769","FA","33","","92.5","1.59","2","463.4","12%","0%"
"*03pj2*","Kevin Newman","KC","3B","770","FA","32","","92","2.04","0","-","4%","0%"
"*03o43*","Luis Urias","MIL","2B","772","FA","28","","92","2.04","0","-","10%","0%"
"*025ko*","Justin Wilson","(N/A)","RP","774","FA","38","","91.5","1.41","0","-","6%","0%"
"*02hfr*","Caleb Thielbar","CHC","RP","776","FA","38","","91","1.38","6","469.7","16%","0%"
"*0376n*","Jose De Leon","(N/A)","SP","778","FA","33","","90.5","9.05","0","-","2%","0%"
"*043r7*","Caleb Ferguson","CIN","RP","779","FA","29","","90.5","1.39","0","-","10%","0%"
"*04afl*","Brendon Little","TOR","RP","780","FA","29","","90.5","1.21","5","464.3","34%","0%"
"*032lk*","Sean Newcomb","(N/A)","RP","781","FA","32","","90.5","3.12","14","489.4","15%","0%"
"*041tl*","Matt Festa","CLE","RP","782","FA","32","","90","1.5","3","469.4","7%","0%"
"*03cav*","Brent Suter","(N/A)","RP","784","FA","36","","89.5","1.79","0","-","3%","0%"
"*03dg7*","Austin Slater","(N/A)","OF","787","FA","33","","89","1.98","0","-","4%","0%"
"*02f9m*","Jakob Junis","(N/A)","RP","792","FA","33","","88","2","3","467.9","8%","0%"
"*02n2v*","Anthony Banda","LAD","RP","795","FA","32","","87.5","1.33","0","-","11%","0%"
"*041yi*","Miles Mastrobuoni","SEA","3B,OF","796","FA","30","","87.5","1.75","0","-","7%","0%"
"*02u47*","Chris Taylor","(N/A)","OF","798","FA","35","","87.5","1.94","0","-","4%","0%"
"*02bra*","James McCann","ARI","C","800","FA","35","","87","2.07","14","488","6%","0%"
"*02hhj*","Ryne Stanek","(N/A)","RP","801","FA","34","","87","1.38","0","-","6%","0%"
"*0558r*","Junior Perez","ATH","OF","806","FA","24","","86","2.05","5","472.1","13%","0%"
"*030x2*","Jose Leclerc","(N/A)","RP","810","FA","32","","85","1.6","0","-","8%","0%"
"*03drc*","Aaron Bummer","ATL","RP","813","FA","32","","84","1.65","0","-","8%","0%"
"*0376h*","Tyler Alexander","TEX","RP","815","FA","31","","83.5","3.09","0","-","8%","0%"
"*02n1c*","Tyler Heineman","TOR","C","819","FA","34","","83","1.98","11","473.1","9%","0%"
"*06elo*","Matt Svanson","STL","RP","821","FA","26","","83","2.02","21","478.8","25%","0%"
"*04n0p*","Zack Thompson","(N/A)","RP","822","FA","28","","83","8.3","0","-","5%","0%"
"*04de0*","Ramon Urias","(N/A)","2B,3B","823","FA","31","","83","2.24","15","484","14%","0%"
"*041am*","Lucas Erceg","KC","RP","825","FA","30","","82.5","1.35","30","465.5","45%","0%"
"*01vxp*","Brooks Raley","NYM","RP","830","FA","37","","82","1.46","5","466.4","14%","0%"
"*04eqw*","Isaac Mattson","PIT","RP","832","FA","30","","81.5","1.77","9","473.7","11%","0%"
"*041pr*","Joey Wentz","ATL","RP","833","FA","28","","81.5","4.08","15","483.2","18%","0%"
"*04ej3*","Riley OBrien","STL","RP","836","FA","30","","81","1.69","64","424.6","38%","0%"
