ID,Player,Team,Position,RkOv,Status,Age,Opponent,FPts,FP/G,%D,ADP,Ros,+/-
*06kvn*,Pedro Santos,ATH,RP,8502,FA,26,,0,0,0,-,0%,0%
*06r6z*,Robert Santos,(N/A),OF,8503,FA,20,,0,0,0,-,0%,0%
*06suj*,Steven Santos,TEX,1B,8504,FA,18,,0,0,0,-,0%,0%
*04uwo*,Victor Santos,STL,RP,8505,FA,25,,0,0,0,-,2%,0%
*06o0v*,Victor Santos,BAL,SP,8506,FA,18,,0,0,0,-,0%,0%
*06l7a*,Yeriel Santos,HOU,"SP,RP",8507,FA,22,,0,0,0,-,0%,0%
*06avy*,Marino Santy,CHC,RP,8509,FA,23,,0,0,0,-,0%,0%
*06o05*,Boris Sarduy,SF,OF,8510,FA,18,NYY Wed 5:05PM,0,0,0,-,0%,0%
*0620y*,Dangelo Sarmiento,NYM,2B,8511,FA,21,,0,0,0,-,1%,0%
*06z0s*,Joel Sarver,ARI,RP,8512,FA,24,,0,0,0,-,0%,0%
*06mea*,Rintaro Sasaki,(N/A),1B,8513,FA,20,,0,0,0,-,4%,0%
*06uxg*,Sammy Sass,(N/A),C,8515,FA,25,,0,0,0,-,0%,0%
*072hv*,Genei Sato,(N/A),SP,8516,FA,21,,0,0,0,-,2%,0%
*06hj6*,Teruaki Sato,(N/A),3B,8517,FA,26,,0,0,0,-,1%,0%
*06htf*,Kelena Sauer,TOR,SP,8519,FA,23,,0,0,0,-,1%,0%
*064nk*,Eli Saul,ARI,RP,8521,FA,24,,0,0,0,-,1%,0%
*06zfi*,Charlie Saum,TOR,C,8522,FA,22,,0,0,0,-,0%,0%
*072es*,Grayson Saunier,HOU,SP,8523,FA,21,,0,0,0,-,0%,0%
*06zlm*,Logan Sauve,ATH,C,8524,FA,22,,0,0,0,-,1%,0%
*06hts*,Luke Savage,TEX,RP,8526,FA,24,,0,0,0,-,0%,0%
*070ei*,Aaron Savary,CLE,SP,8527,FA,21,,0,0,0,-,0%,0%
*06uvz*,Nate Savoie,(N/A),OF,8529,FA,20,,0,0,0,-,0%,0%
*067yj*,Logan Sawyer,STL,RP,8530,FA,33,,0,0,0,-,0%,0%
*066j8*,Alec Sayre,(N/A),OF,8531,FA,25,,0,0,0,-,0%,0%
*06l5o*,Frankie Scalzo Jr.,CHC,RP,8532,FA,26,,0,0,0,-,0%,0%
*070cu*,Matt Scannell,TOR,OF,8533,FA,24,,0,0,0,-,0%,0%
*06zid*,Joe Scarborough,NYM,RP,8535,FA,21,,0,0,0,-,0%,0%
*066f1*,Brandon Schaeffer,SEA,SP,8536,FA,25,,0,0,0,-,1%,0%
*06v64*,Jake Schaffner,(N/A),SS,8537,FA,21,,0,0,0,-,0%,0%
