LEHIGH VALLEY IRONPIGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Oliver Carrillo,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Max Clark,DET,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jared Dickey,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Isaiah Drake,ATL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jacob Hurtubise,CIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jacob Jenkins-Cowart,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Spencer Nivens,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Cole Carrigg,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Drew Gilbert,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Braylin Tavera,BAL,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Daniel Eagen,AZ,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dennis Colleran,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Hyun-Seok Jang,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Seth Keener,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dylan Lesko,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Hunter Owen,KC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Will Sanders,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Taylor Dollard,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Zach Thornton,NYM,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Joe Whitman,SF,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,RP,Alonzo Tredwell,HOU,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D E A D   M O N E Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Traded,,,Released,,,Rule 5 Fee,,,Retirement,,,Option Buyout,,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038
