TOLEDO MUD HENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Dru Baker,TB,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,George Lombard Jr.,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Kyle Lodise,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Dax Kilby,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Arjun Nimmala,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SS,Nick Goodwin,TOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Ricardo Cova,SEA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Brennen Davis,CHC,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jancory De La Cruz,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Jose Gerardo,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Tommy Hawke,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Marcus Lee Sang,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OD,Darwing Ozuna,OAK,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Guy Lipscomb Jr.,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Juan Obispo,WSH,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,George Wolkow,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,OF,Kendall George,LAD,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Brady Tygart,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Hunter Barco,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Ryan Brown,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,P,Ryan Bruno,(N/A),,,,,,,,,,,,,
