LOUISVILLE BATS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Freddy Contreras,KCR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Santiago Castellanos,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Juan Fraide,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Yobal Rodriguez,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Travis Adams,MIN,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Omar Damian,HOU,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Clark Candiotti,FA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Liomar Martinez,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Richard Fitts,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Braylon Doughty,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Antwone Kelly,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Dylan Jordan,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Johnny King,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Julian Tonghini,WAS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ramon Marquez,PHI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Daniel Espino,CLE,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jackson Ferris,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Blake Adams,COL,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Danny Thompson,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Adrian Pena,MIA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Spencer Giesting,ARI,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Wikelman Gonzalez,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Sadbiel Delzine,BOS,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Carlson Reed,PIT,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Justin Wrobleski,LAD,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Gage Stanifer,TOR,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Samuel Aldegheri,LAA,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Ben Hess,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Thatcher Hurd,NYY,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jairo Iriarte,CHW,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,,,SP,Jhancarlos Lara,ATL,,,,,,,,,,,,,
